Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Carrot,"['Honey', 'Thyme', 'Soy Sauce']","['Orange', 'Coffee']",Italian,Winter,Boosts Immunity,5,5,"['C', 'B']"
Chicken,"['Ginger', 'Basil', 'Garlic']","['Ketchup', 'Cucumber']",Mediterranean,Summer,Boosts Immunity,5,5,"['D', 'A']"
Salmon,"['Basil', 'Honey', 'Soy Sauce']","['Banana', 'Cucumber']",Italian,Spring,Good for Heart Health,30,8,"['B', 'K']"
Tomato,"['Olive Oil', 'Parmesan', 'Thyme']","['Tea', 'Banana']",French,Spring,Boosts Immunity,10,18,"['C', 'K']"
Tomato,"['Soy Sauce', 'Olive Oil', 'Lemon']","['Banana', 'Chocolate']",Italian,Winter,High in Protein,10,8,"['A', 'K']"
Mushroom,"['Lemon', 'Olive Oil', 'Thyme']","['Banana', 'Cucumber']",Italian,Fall,Boosts Immunity,5,12,"['A', 'C']"
Pumpkin,"['Basil', 'Ginger', 'Olive Oil']","['Orange', 'Vinegar']",Japanese,Winter,Boosts Immunity,15,8,"['E', 'C']"
Chicken,"['Soy Sauce', 'Basil', 'Lemon']","['Orange', 'Peanut Butter']",Korean,Summer,Supports Digestion,30,8,"['C', 'E']"
Chicken,"['Parmesan', 'Basil', 'Olive Oil']","['Tea', 'Orange']",Italian,Spring,Rich in Antioxidants,10,15,"['D', 'A']"
Pumpkin,"['Garlic', 'Soy Sauce', 'Rosemary']","['Milk', 'Tea']",Japanese,Summer,Supports Digestion,30,15,"['A', 'D']"
Pumpkin,"['Lemon', 'Garlic', 'Parmesan']","['Coffee', 'Chocolate']",Italian,Winter,Rich in Antioxidants,20,15,"['D', 'E']"
Beef,"['Honey', 'Olive Oil', 'Garlic']","['Peanut Butter', 'Orange']",American,Fall,High in Protein,15,2,"['E', 'K']"
Brussels Sprouts,"['Rosemary', 'Basil', 'Olive Oil']","['Vinegar', 'Orange']",Indian,Summer,Supports Digestion,20,8,"['D', 'B']"
Brussels Sprouts,"['Lemon', 'Ginger', 'Olive Oil']","['Ketchup', 'Chocolate']",Indian,Spring,High in Protein,15,15,"['K', 'C']"
Carrot,"['Ginger', 'Basil', 'Soy Sauce']","['Ketchup', 'Milk']",Thai,Spring,Supports Digestion,20,12,"['D', 'C']"
Brussels Sprouts,"['Lemon', 'Parmesan', 'Honey']","['Ketchup', 'Milk']",French,Fall,Supports Digestion,30,8,"['K', 'B']"
Carrot,"['Parmesan', 'Lemon', 'Honey']","['Milk', 'Cucumber']",American,Spring,Supports Digestion,20,12,"['B', 'C']"
Apple,"['Basil', 'Ginger', 'Garlic']","['Peanut Butter', 'Orange']",French,Spring,Rich in Antioxidants,30,5,"['E', 'C']"
Beef,"['Parmesan', 'Rosemary', 'Olive Oil']","['Orange', 'Banana']",Mediterranean,Summer,Rich in Antioxidants,20,8,"['K', 'C']"
Pumpkin,"['Garlic', 'Lemon', 'Olive Oil']","['Coffee', 'Vinegar']",Chinese,Spring,High in Protein,25,18,"['A', 'K']"
Apple,"['Ginger', 'Honey', 'Garlic']","['Tea', 'Milk']",Chinese,Spring,Boosts Immunity,10,15,"['B', 'A']"
Chicken,"['Soy Sauce', 'Olive Oil', 'Parmesan']","['Milk', 'Tea']",Thai,Spring,Good for Heart Health,5,15,"['A', 'K']"
Mushroom,"['Lemon', 'Ginger', 'Garlic']","['Milk', 'Chocolate']",Korean,Spring,Boosts Immunity,30,15,"['E', 'A']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Honey']","['Coffee', 'Vinegar']",Indian,Spring,Good for Heart Health,15,8,"['D', 'A']"
Pumpkin,"['Rosemary', 'Soy Sauce', 'Garlic']","['Banana', 'Tea']",Italian,Summer,Rich in Antioxidants,5,5,"['C', 'B']"
Beef,"['Basil', 'Olive Oil', 'Parmesan']","['Milk', 'Banana']",Indian,Winter,Supports Digestion,25,5,"['K', 'C']"
Carrot,"['Parmesan', 'Rosemary', 'Thyme']","['Orange', 'Ketchup']",American,Winter,Rich in Antioxidants,20,8,"['B', 'C']"
Tomato,"['Honey', 'Soy Sauce', 'Rosemary']","['Banana', 'Tea']",Mediterranean,Spring,Supports Digestion,20,8,"['C', 'K']"
Salmon,"['Soy Sauce', 'Parmesan', 'Olive Oil']","['Orange', 'Cucumber']",American,Summer,Boosts Immunity,25,18,"['A', 'K']"
Asparagus,"['Lemon', 'Thyme', 'Olive Oil']","['Orange', 'Coffee']",Chinese,Winter,High in Protein,20,15,"['D', 'C']"
Chicken,"['Soy Sauce', 'Ginger', 'Parmesan']","['Orange', 'Ketchup']",Chinese,Fall,Good for Heart Health,10,18,"['A', 'E']"
Salmon,"['Rosemary', 'Lemon', 'Garlic']","['Orange', 'Tea']",Chinese,Fall,High in Protein,15,12,"['C', 'B']"
Chicken,"['Rosemary', 'Olive Oil', 'Basil']","['Cucumber', 'Tea']",French,Summer,Supports Digestion,30,2,"['A', 'B']"
Salmon,"['Lemon', 'Ginger', 'Honey']","['Cucumber', 'Vinegar']",Chinese,Fall,High in Protein,30,15,"['A', 'D']"
Apple,"['Ginger', 'Olive Oil', 'Garlic']","['Peanut Butter', 'Cucumber']",Mediterranean,Summer,Boosts Immunity,5,15,"['E', 'D']"
Salmon,"['Olive Oil', 'Soy Sauce', 'Garlic']","['Milk', 'Orange']",Thai,Fall,Supports Digestion,30,2,"['E', 'D']"
Chicken,"['Rosemary', 'Ginger', 'Parmesan']","['Tea', 'Cucumber']",Chinese,Winter,High in Protein,25,15,"['B', 'D']"
Asparagus,"['Olive Oil', 'Rosemary', 'Thyme']","['Tea', 'Ketchup']",Thai,Fall,Boosts Immunity,25,8,"['A', 'K']"
Asparagus,"['Honey', 'Ginger', 'Parmesan']","['Orange', 'Peanut Butter']",French,Summer,Boosts Immunity,10,5,"['A', 'C']"
Asparagus,"['Parmesan', 'Basil', 'Honey']","['Milk', 'Cucumber']",Japanese,Spring,Rich in Antioxidants,5,15,"['D', 'K']"
Salmon,"['Lemon', 'Garlic', 'Thyme']","['Ketchup', 'Chocolate']",Mediterranean,Fall,Rich in Antioxidants,10,12,"['D', 'B']"
Salmon,"['Thyme', 'Honey', 'Garlic']","['Tea', 'Milk']",American,Winter,Rich in Antioxidants,15,15,"['C', 'B']"
Asparagus,"['Lemon', 'Olive Oil', 'Rosemary']","['Ketchup', 'Orange']",Japanese,Winter,Boosts Immunity,30,15,"['C', 'K']"
Mushroom,"['Thyme', 'Rosemary', 'Lemon']","['Milk', 'Chocolate']",Japanese,Spring,High in Protein,25,12,"['A', 'B']"
Apple,"['Basil', 'Rosemary', 'Ginger']","['Coffee', 'Milk']",French,Fall,Rich in Antioxidants,20,15,"['B', 'C']"
Carrot,"['Honey', 'Olive Oil', 'Ginger']","['Peanut Butter', 'Milk']",Italian,Fall,Good for Heart Health,5,15,"['C', 'K']"
Brussels Sprouts,"['Honey', 'Garlic', 'Parmesan']","['Milk', 'Peanut Butter']",Chinese,Spring,Rich in Antioxidants,30,5,"['K', 'C']"
Asparagus,"['Rosemary', 'Garlic', 'Parmesan']","['Coffee', 'Peanut Butter']",Italian,Fall,Rich in Antioxidants,30,5,"['C', 'D']"
Tomato,"['Honey', 'Olive Oil', 'Garlic']","['Peanut Butter', 'Vinegar']",Mexican,Spring,Good for Heart Health,20,5,"['E', 'D']"
Apple,"['Soy Sauce', 'Honey', 'Parmesan']","['Coffee', 'Cucumber']",Indian,Winter,Boosts Immunity,10,5,"['E', 'K']"
Asparagus,"['Thyme', 'Ginger', 'Olive Oil']","['Coffee', 'Ketchup']",Indian,Summer,Supports Digestion,5,5,"['D', 'E']"
Chicken,"['Lemon', 'Olive Oil', 'Ginger']","['Milk', 'Banana']",Korean,Fall,Rich in Antioxidants,30,12,"['E', 'C']"
Pumpkin,"['Honey', 'Thyme', 'Parmesan']","['Coffee', 'Milk']",Italian,Summer,Supports Digestion,25,2,"['C', 'E']"
Apple,"['Olive Oil', 'Honey', 'Ginger']","['Ketchup', 'Orange']",Chinese,Winter,Good for Heart Health,25,15,"['K', 'D']"
Tomato,"['Soy Sauce', 'Ginger', 'Lemon']","['Banana', 'Peanut Butter']",Mexican,Fall,Rich in Antioxidants,15,5,"['K', 'D']"
Tomato,"['Ginger', 'Honey', 'Garlic']","['Vinegar', 'Chocolate']",Korean,Winter,Good for Heart Health,10,2,"['D', 'A']"
Brussels Sprouts,"['Garlic', 'Honey', 'Lemon']","['Chocolate', 'Coffee']",American,Summer,Good for Heart Health,20,2,"['E', 'B']"
Brussels Sprouts,"['Thyme', 'Ginger', 'Parmesan']","['Ketchup', 'Chocolate']",French,Fall,Good for Heart Health,5,5,"['K', 'B']"
Salmon,"['Thyme', 'Olive Oil', 'Honey']","['Cucumber', 'Chocolate']",Chinese,Summer,Rich in Antioxidants,30,15,"['K', 'E']"
Apple,"['Rosemary', 'Soy Sauce', 'Garlic']","['Peanut Butter', 'Chocolate']",Indian,Winter,Boosts Immunity,30,8,"['A', 'D']"
Carrot,"['Basil', 'Soy Sauce', 'Olive Oil']","['Ketchup', 'Tea']",Japanese,Spring,Supports Digestion,30,2,"['C', 'A']"
Chicken,"['Ginger', 'Thyme', 'Olive Oil']","['Chocolate', 'Vinegar']",Mexican,Winter,Good for Heart Health,20,2,"['A', 'D']"
Apple,"['Lemon', 'Honey', 'Rosemary']","['Cucumber', 'Orange']",Chinese,Summer,Boosts Immunity,25,5,"['C', 'A']"
Salmon,"['Basil', 'Honey', 'Thyme']","['Milk', 'Cucumber']",Mediterranean,Summer,Boosts Immunity,20,5,"['B', 'D']"
Mushroom,"['Olive Oil', 'Basil', 'Honey']","['Cucumber', 'Milk']",Italian,Winter,High in Protein,10,5,"['A', 'C']"
Apple,"['Honey', 'Ginger', 'Soy Sauce']","['Cucumber', 'Orange']",Japanese,Spring,Supports Digestion,10,5,"['K', 'C']"
Asparagus,"['Garlic', 'Ginger', 'Soy Sauce']","['Peanut Butter', 'Orange']",Japanese,Winter,Boosts Immunity,10,2,"['C', 'A']"
Pumpkin,"['Lemon', 'Garlic', 'Olive Oil']","['Coffee', 'Milk']",Chinese,Fall,Rich in Antioxidants,10,8,"['C', 'D']"
Carrot,"['Parmesan', 'Ginger', 'Soy Sauce']","['Peanut Butter', 'Banana']",French,Fall,Good for Heart Health,10,5,"['D', 'B']"
Tomato,"['Thyme', 'Lemon', 'Olive Oil']","['Milk', 'Chocolate']",Mexican,Summer,Boosts Immunity,15,15,"['B', 'D']"
Chicken,"['Parmesan', 'Soy Sauce', 'Rosemary']","['Orange', 'Banana']",Indian,Fall,High in Protein,20,8,"['A', 'D']"
Salmon,"['Garlic', 'Lemon', 'Thyme']","['Chocolate', 'Tea']",Mexican,Fall,Good for Heart Health,20,15,"['B', 'A']"
Apple,"['Olive Oil', 'Rosemary', 'Basil']","['Vinegar', 'Orange']",Mexican,Summer,High in Protein,10,5,"['D', 'A']"
Tomato,"['Olive Oil', 'Basil', 'Honey']","['Peanut Butter', 'Cucumber']",Thai,Winter,High in Protein,30,12,"['D', 'C']"
Beef,"['Ginger', 'Thyme', 'Olive Oil']","['Banana', 'Cucumber']",Korean,Fall,High in Protein,25,8,"['E', 'D']"
Salmon,"['Basil', 'Garlic', 'Ginger']","['Peanut Butter', 'Milk']",American,Winter,Rich in Antioxidants,25,15,"['D', 'C']"
Asparagus,"['Soy Sauce', 'Ginger', 'Basil']","['Coffee', 'Peanut Butter']",Indian,Summer,Good for Heart Health,30,12,"['K', 'D']"
Apple,"['Garlic', 'Soy Sauce', 'Thyme']","['Tea', 'Cucumber']",Japanese,Fall,Supports Digestion,5,18,"['D', 'B']"
Mushroom,"['Ginger', 'Honey', 'Lemon']","['Banana', 'Chocolate']",American,Fall,Boosts Immunity,30,15,"['B', 'E']"
Beef,"['Soy Sauce', 'Parmesan', 'Rosemary']","['Coffee', 'Vinegar']",Chinese,Spring,High in Protein,5,15,"['C', 'B']"
Apple,"['Soy Sauce', 'Basil', 'Ginger']","['Orange', 'Chocolate']",Italian,Summer,Boosts Immunity,10,12,"['B', 'E']"
Tomato,"['Honey', 'Thyme', 'Ginger']","['Peanut Butter', 'Vinegar']",Italian,Fall,Boosts Immunity,15,15,"['A', 'D']"
Apple,"['Honey', 'Lemon', 'Soy Sauce']","['Banana', 'Ketchup']",Chinese,Spring,High in Protein,10,15,"['B', 'K']"
Apple,"['Parmesan', 'Soy Sauce', 'Basil']","['Peanut Butter', 'Tea']",Italian,Winter,Supports Digestion,10,18,"['E', 'K']"
Asparagus,"['Rosemary', 'Basil', 'Olive Oil']","['Chocolate', 'Coffee']",Japanese,Fall,Boosts Immunity,20,12,"['D', 'K']"
Beef,"['Basil', 'Honey', 'Lemon']","['Cucumber', 'Chocolate']",Indian,Winter,Good for Heart Health,20,2,"['C', 'K']"
Carrot,"['Thyme', 'Basil', 'Ginger']","['Peanut Butter', 'Milk']",Korean,Summer,Good for Heart Health,15,2,"['E', 'D']"
Mushroom,"['Olive Oil', 'Parmesan', 'Garlic']","['Milk', 'Cucumber']",Korean,Fall,Good for Heart Health,5,5,"['K', 'A']"
Brussels Sprouts,"['Parmesan', 'Garlic', 'Lemon']","['Vinegar', 'Coffee']",Thai,Fall,Rich in Antioxidants,15,15,"['D', 'E']"
Carrot,"['Ginger', 'Basil', 'Garlic']","['Orange', 'Tea']",French,Fall,Supports Digestion,20,18,"['C', 'D']"
Chicken,"['Soy Sauce', 'Lemon', 'Honey']","['Coffee', 'Peanut Butter']",Mexican,Summer,Good for Heart Health,15,2,"['D', 'B']"
Pumpkin,"['Thyme', 'Lemon', 'Basil']","['Banana', 'Cucumber']",Italian,Winter,Good for Heart Health,15,5,"['E', 'D']"
Mushroom,"['Olive Oil', 'Lemon', 'Garlic']","['Peanut Butter', 'Chocolate']",Japanese,Fall,Boosts Immunity,10,18,"['K', 'A']"
Mushroom,"['Olive Oil', 'Ginger', 'Basil']","['Vinegar', 'Ketchup']",American,Fall,Rich in Antioxidants,25,2,"['B', 'A']"
Carrot,"['Ginger', 'Rosemary', 'Basil']","['Peanut Butter', 'Milk']",Japanese,Winter,Boosts Immunity,30,12,"['E', 'B']"
Tomato,"['Basil', 'Rosemary', 'Soy Sauce']","['Chocolate', 'Ketchup']",Thai,Summer,Supports Digestion,20,5,"['K', 'A']"
Asparagus,"['Parmesan', 'Thyme', 'Lemon']","['Banana', 'Cucumber']",Thai,Spring,Supports Digestion,20,15,"['A', 'E']"
Carrot,"['Basil', 'Thyme', 'Honey']","['Milk', 'Tea']",Chinese,Fall,High in Protein,5,8,"['B', 'C']"
Apple,"['Rosemary', 'Thyme', 'Soy Sauce']","['Milk', 'Vinegar']",Indian,Spring,Boosts Immunity,10,15,"['B', 'K']"
Brussels Sprouts,"['Honey', 'Basil', 'Rosemary']","['Vinegar', 'Cucumber']",Mediterranean,Winter,High in Protein,25,2,"['D', 'B']"
Apple,"['Soy Sauce', 'Ginger', 'Garlic']","['Chocolate', 'Vinegar']",Chinese,Spring,Supports Digestion,5,18,"['D', 'K']"
Pumpkin,"['Basil', 'Rosemary', 'Ginger']","['Ketchup', 'Tea']",Japanese,Fall,Rich in Antioxidants,5,8,"['K', 'C']"
Pumpkin,"['Rosemary', 'Olive Oil', 'Honey']","['Cucumber', 'Peanut Butter']",Indian,Spring,High in Protein,5,15,"['B', 'E']"
Tomato,"['Soy Sauce', 'Ginger', 'Garlic']","['Banana', 'Tea']",American,Fall,High in Protein,25,18,"['K', 'B']"
Mushroom,"['Lemon', 'Basil', 'Olive Oil']","['Ketchup', 'Peanut Butter']",Mexican,Summer,Good for Heart Health,30,18,"['D', 'B']"
